令和7年1月1日住民基本台帳人口・世帯数、令和6年（1月1日から同年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,
,,,令和7年,令和7年,令和7年,令和7年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年
,,,2025年,2025年,2025年,2025年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年
,,,人口,人口,人口,世帯数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
,,,男,女,計,世帯数,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（計）,計（Ｂ）,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,都道府県名,市区町村名,人,人,人,世帯,人,人,人,人,人,人,人,人,人,人,人,人,人,％,人,％,人,％
013617,北海道,檜山郡江差町,3186,3421,6607,3971,315,8,323,26,2,351,404,6,410,151,3,564,-213,-3.12316715542522,-125,-1.8328445747800588,-88,-1.2903225806451613
013625,北海道,檜山郡上ノ国町,1926,2207,4133,2336,105,8,113,15,1,129,148,5,153,96,1,250,-121,-2.844381758345087,-81,-1.904090267983075,-40,-0.9402914903620121
013633,北海道,檜山郡厚沢部町,1564,1705,3269,1768,83,15,98,7,1,106,146,6,152,89,1,242,-136,-3.994126284875184,-82,-2.408223201174743,-54,-1.5859030837004406
013641,北海道,爾志郡乙部町,1413,1694,3107,1721,65,2,67,6,1,74,111,4,115,101,0,216,-142,-4.370575561711296,-95,-2.923976608187134,-47,-1.4465989535241612
013676,北海道,奥尻郡奥尻町,1120,1018,2138,1339,129,0,129,8,0,137,218,1,219,49,0,268,-131,-5.773468488320846,-41,-1.8069634200088145,-90,-3.9665050683120318
013706,北海道,瀬棚郡今金町,2147,2297,4444,2341,113,8,121,7,0,128,196,2,198,109,0,307,-179,-3.8719446247025737,-102,-2.2063595068137576,-77,-1.6655851178888168
013714,北海道,久遠郡せたな町,3186,3544,6730,3777,184,26,210,19,2,231,246,5,251,197,1,449,-218,-3.137593552101324,-178,-2.56188831318365,-40,-0.5757052389176741
013919,北海道,島牧郡島牧村,617,629,1246,744,23,1,24,3,2,29,45,0,45,24,0,69,-40,-3.1104199066874028,-21,-1.6329704510108864,-19,-1.4774494556765163
013927,北海道,寿都郡寿都町,1302,1327,2629,1554,89,24,113,13,1,127,127,3,130,56,6,192,-65,-2.412769116555308,-43,-1.5961395694135114,-22,-0.8166295471417966
013935,北海道,寿都郡黒松内町,1169,1277,2446,1374,112,11,123,5,1,129,193,4,197,57,2,256,-127,-4.935872522347454,-52,-2.0209871745044694,-75,-2.9148853478429846
