,,,,,,,（単位：千円）
年度,区　　 分,歳　　　　　　　　　　入,,歳　　　　　　　　　　出,,備　　　　　　　考,備　　　考
,,予　　算　　額,決　　算　　額,予　　算　　額,決　　算　　額,,
,,,,,,,
平成,暫定予算,,,,,,
,3号　,213303292,,213303292,,,
,計,100222014770,102774026676,100222014770,97541764842,,
,,,,,,,
29,本予算,,,,,,
,第193国会,97454709410,,97454709410,,,
,補正予算,,,,,,
,第196国会,,,,,,
,1号　,1654778142,,1654778142,,,
,計,99109487552,103644049985,99109487552,98115604721,,
,,,,,,,
30,本予算,,,,,,
,第196国会,97712769411,,97712769411,,,
,補正予算,,,,,,
,第197国会,,,,,,
,1号　,935618698,,935618698,,,
,第198国会,,,,,,
,2号　,2709673158,,2709673158,,,
,計　　　,101358061267,105697418124,101358061267,98974696544,,
,,,,,,,
(注）本表の各年度の補正予算額は増額減額差引後の計数である。,,,,,,,
